DataAut,Numero Autorizzazione,Soggetto,Piva,Via Autorizzazione,Civico Autorizzazione,Oggetto,Dettaglio Oggetto,Area,Durata,Data Inizio,Data Fine
05/07/16,,CONDOMINIO VIA BONO CAIROLI 31 - A.C. AVV.RUGGERO ARMANI ,80329840153,Via BONO CAIROLI ADELAIDE,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,1.43,75,,
05/07/16,,CONDOMINIO VIA BONO CAIROLI 31 - A.C. AVV.RUGGERO ARMANI ,80329840153,Via BONO CAIROLI ADELAIDE,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Piano di lavoro,9.3,75,,
06/07/16,139034/2016,CONDOMINIO VIA SACCHI 4 ,95707940151,Via SACCHI GIUSEPPE,4,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",19.721,160,17/08/16,23/01/17
06/07/16,139034/2016,CONDOMINIO VIA SACCHI 4 ,95707940151,Via SACCHI GIUSEPPE,4,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio alla base,3.82,160,17/08/16,23/01/17
06/07/16,139034/2016,CONDOMINIO VIA SACCHI 4 ,95707940151,Via SACCHI GIUSEPPE,4,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,4.479,160,17/08/16,23/01/17
06/07/16,139034/2016,CONDOMINIO VIA SACCHI 4 ,95707940151,Via PONTE VETERO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,19.266,160,17/08/16,23/01/17
06/07/16,139034/2016,CONDOMINIO VIA SACCHI 4 ,95707940151,Via PONTE VETERO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",0.39,160,17/08/16,23/01/17
06/07/16,139034/2016,CONDOMINIO VIA SACCHI 4 ,95707940151,Via PONTE VETERO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,1.521,160,17/08/16,23/01/17
06/07/16,139034/2016,CONDOMINIO VIA SACCHI 4 ,95707940151,Via PONTE VETERO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,31.421,160,17/08/16,23/01/17
06/07/16,139034/2016,CONDOMINIO VIA SACCHI 4 ,95707940151,Via PONTE VETERO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata,22.125,160,17/08/16,23/01/17
06/07/16,177027/2016,"CONDOMINIO C.SO LODI, 62  ",95618550156,Via SCRIVIA,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio alla base,4.8,30,08/09/16,07/10/16
06/07/16,177027/2016,"CONDOMINIO C.SO LODI, 62  ",95618550156,Via SCRIVIA,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,8.8,30,08/09/16,07/10/16
06/07/16,177027/2016,"CONDOMINIO C.SO LODI, 62  ",95618550156,Via SCRIVIA,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,3,30,08/09/16,07/10/16
06/07/16,177027/2016,"CONDOMINIO C.SO LODI, 62  ",95618550156,Via SCRIVIA,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata + ponteggio,4.2,30,08/09/16,07/10/16
